Name Chr Start End
HLA-A chr6 29942554 29945741
HLA-B chr6 31353367 31357155
HLA-C chr6 31268257 31272071
HLA-DMA chr6 32948765 32951900
HLA-DMB chr6 32934806 32940044
HLA-DOA chr6 33006304 33009150
HLA-DOB chr6 32812540 32816899
HLA-DPA1 chr6 33064319 33073562
HLA-DPA2 chr6 33091485 33097139
HLA-DPB1 chr6 33076065 33087147
HLA-DPB2 chr6 33113855 33129686
HLA-DQA1 chr6 32637480 32643199
HLA-DQA2 chr6 32741532 32747214
HLA-DQB1 chr6 32660035 32666603
HLA-DRA chr6 32440129 32445274
HLA-DRB1 chr6 32578780 32589729
HLA-DRB5 chr6 32518625 32530185
HLA-E chr6 30489540 30492916
HLA-F chr6 29723501 29726666
HLA-G chr6 29827859 29830682
HLA-HFE chr6 26087319 26098343
HLA-H chr6 29887803 29890883
HLA-J chr6 30006723 30009476
HLA-K chr6 29926466 29929702
HLA-L chr6 30259648 30263000
HLA-MICA chr6 31403653 31415816
HLA-MICB chr6 31498274 31510557
HLA-N chr6 30351570 30351761
HLA-P chr6 29800524 29802776
HLA-S chr6 31381834 31382377
HLA-TAP1 chr6 32845139 32853398
HLA-TAP2 chr6 32828449 32837693
HLA-T chr6 29896662 29898450
HLA-U chr6 29934121 29934596
HLA-V chr6 29792334 29793434
HLA-W chr6 29956609 29959055
